transaction_text,merchant,amount,date,label
bookmyshow *5h96 POS Txn,bookmyshow,2127.23,2025-07-15,entertainment
UPI payment to hotstar@ybl,hotstar,353.7,2025-09-23,entertainment
UPI payment to irctc@ybl,irctc,751.27,2025-04-19,travel
PAYMENT TO swiggy VIA NETBANKING,swiggy,2615.27,2025-10-13,restaurants
spotifye*n305pPOS Txn,spotify,4123.05,2025-02-18,entertainment
Payment To Hotstar Via Netbanking,hotstar,4822.45,2024-11-22,entertainment
PURCHASE reliance fresh Ref#9191 NEFT94,reliance fresh,257.98,2025-01-05,groceries
OnlINE PaymEnT TO BookMYShOW ONLINe1298,bookmyshow,4402.63,2025-05-13,entertainment
DEBIT CARD KFC 571,kfc,571.33,2024-11-09,restaurants
PAYMENT TO indigo VIA NETBANKING,indigo,1418.28,2025-10-07,travel
UPI payment to vendikin@ybl,vendikin,1112.69,2025-04-05,restaurants
goibibo *8457 POS Tnn,goibibo,4661.55,2024-12-26,travel
Online payment to irctc,irctc,4337.97,2025-08-18,travel
PURCHASE myntra Ref#9980,myntra,1347.9,2025-06-09,shopping
DEBIT CARD RELIANCE FRESH 1954,reliance fresh,1954.02,2025-04-14,groceries
IMPS transfer to hotstar,hotstar,1219.51,2025-10-19,entertainment
PURCHASQ MOQE SUPERMARKET VEF#8752,more supermarket,3162.86,2025-04-25,groceries
UPI payment po amazon@ybl,amazon,586.53,2025-02-26,shopping
DEBIT CARD INDIGO 4800,indigo,4800.98,2025-06-26,travel
Txn 87176: mcdonalds 875.29,mcdonalds,875.29,2025-08-22,restaurants
DEBIT CARD NETFLIX 3416,netflix,3416.84,2025-06-29,entertainment
Online payment to amazon,amazon,1962.33,2025-08-11,shopping
Online payment to uber,uber,3458.65,2025-01-19,travel
Online payment to irctc Ref6669,irctc,1841.17,2024-11-08,travel
UPI payment to swiggy@ybl,swiggy,3486.78,2024-12-16,restaurants
POS goibibo w270 TXN,goibibo,3270.67,2025-04-03,travel
Online payment to indigo,indigo,1568.45,2025-01-14,travel
UPI payment to spencers@ybl,spencers,2303.81,2025-10-27,groceries
PURCHASE flrpkart Refk5569,flipkart,937.63,2024-12-10,shopping
PAYMENT TO amazon VIA NETBANKING,amazon,4884.2,2025-06-06,shopping
Txn 30361: ola 1774.87,ola,1774.87,2024-12-21,travel
Txn 53483: uber 448.48,uber,448.48,2024-12-03,travel
POS airtel broadband 1719 TXN,airtel broadband,1719.03,2025-03-05,utilities
nykaa *1260 POS Txn,nykaa,1435.78,2024-11-14,shopping
Online payment to indigo,indigo,3846.6,2024-12-19,travel
DEBIT CARD SWIGGY 4443,swiggy,4443.03,2024-12-15,restaurants
DEBIT CARD BWSSB 1022,bwssb,1022.94,2025-05-10,utilities
POS dmart 4672 TXN,dmart,4672.01,2025-05-03,groceries
Online payment to indigo,indigo,744.78,2025-05-08,travel
Txn 72868: ajio 1024.29,ajio,1024.29,2025-05-15,shopping
Online payment to flipkart,flipkart,2710.25,2025-03-29,shopping
Online payment to zomato,zomato,2850.76,2024-11-26,restaurants
DEBIT CARD BWSSB 542,bwssb,542.58,2025-07-04,utilities
Online payment to goibibo,goibibo,2346.3,2024-12-01,travel
TXN 97566: ZOMATO 3001.14,zomato,3001.14,2025-04-25,restaurants
Online payment to uber IMPS7519,uber,3552.36,2025-08-30,travel
PURCHASE reliance fresh Ref#3642,reliance fresh,3201.81,2025-06-02,groceries
irctc *9939 POS Txn,irctc,2011.49,2025-08-03,travel
Online payment to nykaa POS3082,nykaa,671.09,2025-10-12,shopping
